ts,node,s_temp_win_c,s_hum_win_pct,s_temp_out_c,s_hum_out_pct
1764310324.0806053,camera,AWAKE_IN_ROOM,0.8
1764310331.398293,window,23.68,48.29,23.3,48.5
1764310334.0822532,camera,AWAKE_IN_ROOM,0.8
1764310341.404217,window,23.68,48.27,23.4,48.4
1764310344.169455,camera,AWAKE_IN_ROOM,0.8
1764310351.41912,window,23.69,48.25,23.4,48.3
1764310354.2441797,camera,AWAKE_IN_ROOM,0.8
1764310361.4181275,window,23.69,48.23,23.4,48.3
1764310364.3049476,camera,AWAKE_IN_ROOM,0.8
1764310371.4260314,window,23.69,48.21,23.3,48.3
1764310374.3272517,camera,AWAKE_IN_ROOM,0.8
1764310381.4324932,window,23.69,48.22,23.4,48.5
1764310384.388432,camera,AWAKE_IN_ROOM,0.8
1764310391.4373922,window,23.69,48.25,23.4,48.5
1764310394.4036705,camera,AWAKE_IN_ROOM,0.8
1764310401.44133,window,23.69,48.26,23.4,48.4
1764310404.4879065,camera,AWAKE_IN_ROOM,0.8
1764310411.447716,window,23.69,48.25,23.4,48.3
1764310414.5647843,camera,AWAKE_IN_ROOM,0.8
1764310421.4543169,window,23.7,48.27,23.4,48.5
1764310424.63611,camera,AWAKE_IN_ROOM,0.8
1764310431.4626184,window,23.7,48.33,23.4,49.0
1764310434.6486676,camera,AWAKE_IN_ROOM,0.8
1764310441.468695,window,23.7,48.39,23.4,48.9
1764310444.6505947,camera,AWAKE_IN_ROOM,0.8
1764310451.4755952,window,23.7,48.39,23.4,48.6
1764310454.7056804,camera,AWAKE_IN_ROOM,0.8
1764310461.4779902,window,23.7,48.36,23.4,48.3
1764310464.7278981,camera,AWAKE_IN_ROOM,0.8
1764310471.4846792,window,23.7,48.34,23.4,48.4
1764310474.7295659,camera,AWAKE_IN_ROOM,0.8
1764310481.4885032,window,23.7,48.32,23.4,48.4
1764310484.8020024,camera,AWAKE_IN_ROOM,0.8
1764310491.4967377,window,23.7,48.29,23.3,48.3
1764310494.8080053,camera,AWAKE_IN_ROOM,0.8
1764310501.5013483,window,23.7,48.24,23.4,48.1
1764310504.8514187,camera,AWAKE_IN_ROOM,0.8
1764310511.509402,window,23.7,48.18,23.4,47.9
1764310514.9038959,camera,AWAKE_IN_ROOM,0.8
1764310521.5165796,window,23.7,48.12,23.3,47.8
1764310524.9123085,camera,AWAKE_IN_ROOM,0.8
1764310531.5202465,window,23.7,48.05,23.3,47.8
1764310534.9125369,camera,IN_BED_LYING,0.8
1764310541.5258749,window,23.7,47.98,23.4,47.7
